Time,Heart Rate
00:00:00,54
00:01:00,54
00:02:00,55
00:03:00,55
00:04:00,54
00:05:00,55
00:06:00,54
00:07:00,58
00:08:00,57
00:09:00,68
00:10:00,63
00:11:00,56
00:12:00,53
00:13:00,54
00:14:00,53
00:15:00,54
00:16:00,54
00:17:00,52
00:18:00,52
00:19:00,52
00:20:00,52
00:21:00,51
00:22:00,53
00:23:00,54
00:24:00,55
00:25:00,53
00:26:00,55
00:27:00,55
00:28:00,55
00:29:00,55
00:30:00,55
00:31:00,54
00:32:00,59
00:33:00,56
00:34:00,53
00:35:00,55
00:36:00,55
00:37:00,54
00:38:00,55
00:39:00,59
00:40:00,55
00:41:00,56
00:42:00,55
00:43:00,54
00:44:00,56
00:45:00,54
00:46:00,54
00:47:00,54
00:48:00,56
00:49:00,55
00:50:00,54
00:51:00,55
00:52:00,54
00:53:00,57
00:54:00,61
00:55:00,55
00:56:00,54
00:57:00,53
00:58:00,54
00:59:00,54
01:00:00,54
01:01:00,54
01:02:00,55
01:03:00,58
01:04:00,62
01:05:00,67
01:06:00,72
01:07:00,63
01:08:00,62
01:09:00,62
01:10:00,57
01:11:00,60
01:12:00,59
01:13:00,62
01:14:00,58
01:15:00,62
01:16:00,53
01:17:00,53
01:18:00,53
01:19:00,52
01:20:00,55
01:21:00,52
01:22:00,56
01:23:00,52
01:24:00,56
01:25:00,56
01:26:00,52
01:27:00,53
01:28:00,51
01:29:00,53
01:30:00,53
01:31:00,52
01:32:00,52
01:33:00,51
01:34:00,52
01:35:00,52
01:36:00,53
01:37:00,54
01:38:00,53
01:39:00,53
01:40:00,53
01:41:00,53
01:42:00,61
01:43:00,63
01:44:00,51
01:45:00,48
01:46:00,47
01:47:00,48
01:48:00,49
01:49:00,48
01:50:00,50
01:51:00,55
01:52:00,50
01:53:00,51
01:54:00,47
01:55:00,49
01:56:00,49
01:57:00,49
01:58:00,48
01:59:00,49
02:00:00,50
02:01:00,50
02:02:00,50
02:03:00,50
02:04:00,52
02:05:00,52
02:06:00,51
02:07:00,50
02:08:00,50
02:09:00,52
02:10:00,51
02:11:00,51
02:12:00,52
02:13:00,52
02:14:00,52
02:15:00,55
02:16:00,55
02:17:00,53
02:18:00,49
02:19:00,46
02:20:00,50
02:21:00,49
02:22:00,50
02:23:00,48
02:24:00,48
02:25:00,49
02:26:00,49
02:27:00,50
02:28:00,50
02:29:00,51
02:30:00,52
02:31:00,52
02:32:00,53
02:33:00,49
02:34:00,46
02:35:00,46
02:36:00,46
02:39:00,47
02:40:00,51
02:41:00,54
02:42:00,55
02:43:00,54
02:44:00,57
